,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,Gender,Age,cluster
0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,Every three months,Female,61,0
1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,Every three months,Female,51,1
2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,Every three months,Female,62,1
3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4,Once a week,Female,69,1
4,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,2,Once a month,Male,49,1
5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,Male,55,1
6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2,Every three months,Female,56,1
7,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,23,1
8,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,Male,58,0
9,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Every three months,Female,32,1
10,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,Every three months,Female,53,0
11,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,Once a month,Male,28,1
12,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Every three months,Male,65,1
13,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,5,Once a month,Male,54,1
14,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Once a month,Male,67,0
15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,51,1
16,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a month,Female,34,1
17,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,2,Once a month,Male,31,1
18,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,Every three months,Female,47,0
19,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,More than once a week,Male,37,1
20,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,Once a year,Female,41,1
21,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,2,Once a month,Male,36,1
22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,Once a week,Female,23,0
23,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,5,More than once a week,Female,50,1
24,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,Female,39,1
25,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,Every three months,Female,35,1
26,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,Male,20,1
27,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,Once a month,Female,34,1
28,No,Yes,No,No,No,Yes,No,No,No,No,No,0,Every three months,Male,55,1
29,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,24,1
30,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Male,44,1
31,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,40,1
32,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a month,Male,55,1
33,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,Male,37,0
34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a week,Male,48,1
35,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Every three months,Female,54,0
36,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,38,1
37,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Every three months,Female,49,0
38,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,Female,35,0
39,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,Male,55,0
40,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,2,Once a year,Male,31,1
41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,More than once a week,Male,57,1
42,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4,More than once a week,Male,69,1
43,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Every three months,Female,37,1
44,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Male,60,0
45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Once a month,Male,36,1
46,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,1,Every three months,Male,54,1
47,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,Male,66,1
48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a month,Female,32,1
49,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a year,Male,67,1
50,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a week,Female,42,0
51,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a month,Female,26,1
