yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,Visits/year,Gender
0,1,0,1,0,1,1,0,1,0,0,-3,61,4,Female
1,1,0,1,1,1,1,1,1,0,0,2,51,4,Female
0,1,1,1,1,1,0,1,1,1,0,1,62,4,Female
1,1,0,1,1,1,1,1,0,0,1,4,69,48,Female
0,1,0,1,1,1,1,0,0,1,0,2,49,12,Male
1,1,0,1,0,1,1,1,0,0,0,2,55,4,Male
1,1,1,1,0,1,0,1,1,1,0,2,56,4,Female
1,1,0,1,1,1,1,1,0,0,0,5,23,48,Female
0,0,0,1,1,0,0,0,1,0,1,-5,58,1,Male
1,1,0,1,1,1,0,1,1,0,0,1,32,4,Female
0,1,0,1,0,1,1,0,0,0,1,-2,53,4,Female
1,1,0,1,1,1,0,1,1,0,1,3,28,12,Male
0,1,0,1,0,1,1,0,0,0,0,0,65,4,Male
1,1,0,1,0,1,0,1,1,1,0,5,54,12,Male
0,1,0,1,0,1,0,0,1,0,0,-3,67,12,Male
1,1,0,1,0,1,1,1,0,0,0,3,51,12,Male
1,1,0,1,1,1,1,1,0,0,0,0,34,12,Female
1,1,0,0,1,1,0,1,0,0,0,2,31,12,Male
0,0,0,1,1,1,1,0,1,0,1,-4,47,4,Female
1,1,0,1,1,1,0,1,1,0,1,5,37,96,Male
1,1,0,1,1,1,0,1,1,0,1,2,41,1,Female
1,1,0,1,0,1,1,1,1,0,0,2,36,12,Male
1,1,1,1,1,1,1,1,1,0,1,-2,23,48,Female
1,1,1,1,0,1,0,1,1,0,0,5,50,96,Female
1,1,0,1,0,1,1,1,0,1,0,2,39,4,Female
1,1,0,1,1,1,1,0,1,0,0,0,35,4,Female
1,1,0,1,1,1,1,1,0,0,1,0,20,4,Male
0,1,0,1,1,1,0,1,0,1,0,0,34,12,Female
0,1,0,0,0,1,0,0,0,0,0,0,55,4,Male
1,1,0,1,0,1,1,1,0,1,0,3,24,4,Female
1,1,0,1,1,1,1,1,0,0,0,3,44,12,Male
0,1,0,0,0,1,1,1,0,1,0,3,40,12,Female
1,1,0,1,1,1,1,1,0,0,0,1,55,12,Male
0,1,0,1,1,1,1,0,0,0,1,-4,37,0,Male
1,1,0,1,0,1,1,1,0,1,0,4,48,48,Male
0,1,0,1,1,1,1,0,0,0,1,-2,54,4,Female
1,1,0,1,0,1,1,1,0,1,0,3,38,4,Female
0,1,0,1,1,1,1,0,0,0,1,-5,49,4,Female
0,0,0,1,1,1,1,0,0,0,1,-4,35,0,Female
0,0,0,1,1,1,0,0,1,0,1,-4,55,1,Male
1,0,0,1,0,0,0,1,1,0,0,2,31,1,Male
1,1,0,1,0,1,1,1,0,1,0,3,57,96,Male
1,1,1,1,0,1,1,1,0,1,0,4,69,96,Male
1,1,0,1,0,1,0,1,0,0,0,3,37,4,Female
0,1,0,1,1,1,1,0,0,0,1,-5,60,0,Male
1,1,1,1,1,1,1,1,1,1,1,2,36,12,Male
0,1,0,0,0,1,0,1,0,1,0,1,54,4,Male
1,1,0,1,0,1,0,1,1,0,0,4,66,12,Male
1,1,0,1,0,1,1,1,0,0,0,0,32,12,Female
1,1,0,1,1,1,1,1,0,0,0,2,67,1,Male
0,1,1,1,1,1,0,0,1,0,1,-4,42,48,Female
1,1,0,1,1,1,1,0,0,0,0,2,26,12,Female
1,1,0,1,1,1,0,1,1,0,0,1,58,1,Female
0,1,0,1,0,1,0,0,1,0,1,-5,48,12,Male
1,1,0,0,0,1,1,1,0,1,0,4,54,12,Female
0,1,0,1,0,1,1,1,0,0,0,0,62,1,Male
0,1,0,1,1,1,1,0,0,0,1,-4,52,1,Female
0,1,0,1,1,1,1,0,0,0,0,0,53,4,Male
1,1,0,1,0,1,1,1,0,0,0,4,47,96,Male
1,1,0,1,1,1,1,1,0,0,0,5,26,12,Female
1,1,0,1,1,1,0,1,0,0,0,5,29,48,Female
1,1,0,1,1,1,1,1,0,1,0,3,24,48,Male
1,1,0,1,0,1,1,1,0,1,0,5,25,48,Female
0,1,0,1,1,1,0,0,1,0,0,0,54,12,Male
