,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Visits/year,Gender,Age,cluster
0,0,1,0,1,0,1,1,0,1,0,0,-3,4,Female,61,0
1,1,1,0,1,1,1,1,1,1,0,0,2,4,Female,51,1
2,0,1,1,1,1,1,0,1,1,1,0,1,4,Female,62,1
3,1,1,0,1,1,1,1,1,0,0,1,4,48,Female,69,1
4,0,1,0,1,1,1,1,0,0,1,0,2,12,Male,49,1
5,1,1,0,1,0,1,1,1,0,0,0,2,4,Male,55,1
6,1,1,1,1,0,1,0,1,1,1,0,2,4,Female,56,1
7,1,1,0,1,1,1,1,1,0,0,0,5,48,Female,23,1
8,0,0,0,1,1,0,0,0,1,0,1,-5,1,Male,58,0
9,1,1,0,1,1,1,0,1,1,0,0,1,4,Female,32,1
10,0,1,0,1,0,1,1,0,0,0,1,-2,4,Female,53,0
11,1,1,0,1,1,1,0,1,1,0,1,3,12,Male,28,1
12,0,1,0,1,0,1,1,0,0,0,0,0,4,Male,65,1
13,1,1,0,1,0,1,0,1,1,1,0,5,12,Male,54,1
14,0,1,0,1,0,1,0,0,1,0,0,-3,12,Male,67,0
15,1,1,0,1,0,1,1,1,0,0,0,3,12,Male,51,1
16,1,1,0,1,1,1,1,1,0,0,0,0,12,Female,34,1
17,1,1,0,0,1,1,0,1,0,0,0,2,12,Male,31,1
18,0,0,0,1,1,1,1,0,1,0,1,-4,4,Female,47,0
19,1,1,0,1,1,1,0,1,1,0,1,5,96,Male,37,1
20,1,1,0,1,1,1,0,1,1,0,1,2,1,Female,41,1
21,1,1,0,1,0,1,1,1,1,0,0,2,12,Male,36,1
22,1,1,1,1,1,1,1,1,1,0,1,-2,48,Female,23,0
23,1,1,1,1,0,1,0,1,1,0,0,5,96,Female,50,1
24,1,1,0,1,0,1,1,1,0,1,0,2,4,Female,39,1
25,1,1,0,1,1,1,1,0,1,0,0,0,4,Female,35,1
26,1,1,0,1,1,1,1,1,0,0,1,0,4,Male,20,1
27,0,1,0,1,1,1,0,1,0,1,0,0,12,Female,34,1
28,0,1,0,0,0,1,0,0,0,0,0,0,4,Male,55,1
29,1,1,0,1,0,1,1,1,0,1,0,3,4,Female,24,1
30,1,1,0,1,1,1,1,1,0,0,0,3,12,Male,44,1
31,0,1,0,0,0,1,1,1,0,1,0,3,12,Female,40,1
32,1,1,0,1,1,1,1,1,0,0,0,1,12,Male,55,1
33,0,1,0,1,1,1,1,0,0,0,1,-4,0,Male,37,0
34,1,1,0,1,0,1,1,1,0,1,0,4,48,Male,48,1
35,0,1,0,1,1,1,1,0,0,0,1,-2,4,Female,54,0
36,1,1,0,1,0,1,1,1,0,1,0,3,4,Female,38,1
